************************************************
*    Row   *     el.UZ *      el.E *       wgt *
************************************************
*        0 * 0.8913536 * 437.62301 * 0.9216309 *
*        1 * 0.2417376 * 336.85763 * 1.0668865 *
*        2 * 0.2626120 * 213.42477 * 1.0855572 *
*        3 * 0.7829102 * 605.76232 * 0.8701201 *
*        4 * 0.7387232 * 359.01510 * 1.0247578 *
*        5 * 0.7816615 * 420.98840 * 0.8531935 *
*        6 * 0.8343748 * 343.17718 * 1.1120427 *
*        7 * -0.804919 * 215.89473 * 1.4763778 *
*        8 * 0.4769411 * 308.67861 * 0.8886702 *
*        9 * 0.7416659 * 306.75607 * 0.9580053 *
*       10 * -0.664321 * 207.11001 * 1.3475917 *
*       11 * -0.167295 * 288.67099 * 0.9995157 *
*       12 * 0.9983318 * 460.69143 * 1.0735759 *
*       13 * 0.9112663 * 447.52743 * 0.9977584 *
*       14 * 0.9108177 * 317.74401 * 1.2177381 *
*       15 * 0.2983480 * 304.14349 * 0.9469811 *
*       16 * -0.336497 * 278.18615 * 0.9468374 *
*       17 * 0.5490013 * 350.62356 * 0.8676869 *
*       18 * -0.029192 * 269.72818 * 1.1283233 *
*       19 * 0.3559996 * 340.49945 * 1.0209223 *
*       20 * 0.0461988 * 298.43954 * 0.9500994 *
*       21 * 0.3579071 * 343.48785 * 0.9119015 *
*       22 * 0.2074874 * 358.13531 * 0.8678172 *
*       23 * 0.4978751 * 283.71389 * 1.0176941 *
*       24 * 0.7588936 * 382.70623 * 0.9087960 *
*       25 * 0.7766296 * 473.14788 * 0.9740474 *
*       26 * 0.8770104 * 426.21731 * 0.8549776 *
*       27 * -0.701308 * 210.47810 * 1.1128407 *
*       28 * 0.9399694 * 965.45666 * 0.9281203 *
*       29 * 0.4546218 * 363.03274 * 0.9856386 *
*       30 * 0.8490982 * 346.13797 * 0.9472962 *
*       31 * 0.7498037 * 738.73718 * 0.7216392 *
*       32 * 0.8177826 * 470.62399 * 0.9535672 *
*       33 * 0.9977285 * 466.39672 * 1.0153358 *
*       34 * 0.1449322 * 259.40097 *  1.226282 *
*       35 * 0.5641853 * 323.20553 * 1.1532814 *
*       36 * -0.934359 * 182.18165 * 2.1387586 *
*       37 * 0.9517444 * 603.64245 * 0.9980696 *
*       38 * 0.2469565 * 396.70251 * 0.8689416 *
