************************************************
*    Row   *     el.UZ *      el.E *       wgt *
************************************************
*        0 * 0.8288627 * 428.23001 * 1.2799999 *
*        1 * 0.3692256 * 517.40802 * 0.9669786 *
*        2 * 0.8790100 * 305.32812 *         1 *
*        3 * 0.8290157 * 711.14025 * 0.9763734 *
*        4 * 0.8561699 * 909.91589 * 1.2799999 *
*        5 * 0.7020192 * 227.31211 * 1.2799999 *
*        6 * 0.1862261 * 321.89617 * 1.2799999 *
*        7 * 0.8893518 * 1062.9803 *         1 *
*        8 * 0.9545494 * 995.40350 *         1 *
*        9 * 0.8409355 * 840.81951 * 1.2799999 *
*       10 * -0.259848 * 264.14859 * 1.2799999 *
*       11 * 0.7761202 * 506.78973 * 1.2799999 *
*       12 * 0.6053259 * 555.33789 * 0.9670683 *
*       13 * 0.8917049 * 683.15393 * 1.2799999 *
*       14 * 0.5685080 * 579.50830 * 1.2799999 *
*       15 * 0.8825700 * 954.04473 * 0.9687234 *
*       16 * -0.444013 * 387.00949 * 1.2799999 *
*       17 * 0.7834497 * 410.43716 * 0.9690937 *
*       18 * 0.8042715 * 856.19421 * 0.9687190 *
*       19 * 0.0380598 * 279.08187 * 1.2799999 *
*       20 * 0.9228605 * 846.06921 * 0.9661130 *
*       21 * 0.9324778 * 774.54522 *         1 *
*       22 * 0.9409677 * 967.02734 * 1.2799999 *
*       23 * -0.868971 * 219.48300 * 1.2799999 *
*       24 * 0.2690714 * 238.13095 * 1.2799999 *
*       25 * -0.018333 * 416.84884 *         1 *
*       26 * 0.9586569 * 398.31131 * 1.2799999 *
*       27 * 0.1253889 * 372.94955 * 0.9665418 *
*       28 * 0.9047444 * 983.55920 * 0.9705131 *
*       29 * -0.605765 * 250.36207 * 1.2799999 *
*       30 * 0.7564696 * 772.23657 * 1.2799999 *
*       31 * -0.237776 * 172.27104 * 1.2799999 *
*       32 * 0.3909555 * 248.38002 * 0.9682123 *
*       33 * 0.6766834 * 666.69805 * 1.2799999 *
*       34 * 0.0794193 * 338.57421 * 1.2799999 *
*       35 * 0.1802279 * 563.61969 * 1.2799999 *
*       36 * 0.6435812 * 344.12442 * 1.2799999 *
*       37 * -0.837840 * 149.44015 *         1 *
*       38 * 0.7309033 * 845.73974 * 0.9694653 *
*       39 * 0.8402358 * 1000.0463 * 0.9688523 *
*       40 * 0.2876302 * 513.99810 * 1.2799999 *
*       41 * 0.6539008 * 710.08593 * 1.2799999 *
*       42 * 0.4492411 * 251.28385 *         1 *
*       43 * 0.9732645 * 505.50622 * 1.2799999 *
*       44 * 0.5561362 * 613.27954 * 0.9723174 *
*       45 * 0.5527266 * 499.03497 * 1.2799999 *
*       46 * 0.1914193 * 203.69722 * 1.2799999 *
*       47 * 0.7090995 * 332.20843 * 1.2799999 *
*       48 * 0.8706621 * 929.02948 * 0.9706212 *
*       49 * 0.9677092 * 585.49511 * 1.2799999 *
*       50 * 0.2709902 * 191.83052 *         1 *
*       51 * 0.3226484 * 253.93727 * 1.2799999 *
*       52 * 0.7744444 * 599.65191 * 1.2799999 *
*       53 * 0.7579547 * 721.75500 * 1.2799999 *
*       54 * 0.7204498 * 706.98535 * 1.2799999 *
*       55 * 0.5312458 * 377.40374 * 1.2799999 *
*       56 * -0.445413 * 192.72991 * 1.2799999 *
*       57 * 0.9052946 * 932.60015 * 1.2799999 *
*       58 * 0.8342042 * 745.32330 * 1.2799999 *
*       59 * 0.9480075 * 640.92761 * 1.2799999 *
*       60 * 0.9347228 * 950.54345 *         1 *
*       61 * 0.5588157 * 526.27203 * 1.2799999 *
*       62 * 0.9499297 * 793.46356 *         1 *
*       63 * -0.196942 * 388.43930 * 0.9666464 *
*       64 * 0.7584645 * 368.40921 * 1.2799999 *
*       65 * -0.537588 * 366.46185 * 1.2799999 *
*       66 * 0.9831282 * 1135.7469 * 0.9675465 *
*       67 * 0.9871222 * 1179.2784 * 1.0657413 *
*       68 * 0.8045159 * 545.91082 * 0.9701316 *
*       69 * 0.2833752 * 500.95468 * 1.2799999 *
*       70 * 0.3360599 * 218.33860 * 1.2799999 *
*       71 * 0.6960774 * 525.13275 * 1.2799999 *
*       72 * 0.8137206 * 519.27105 * 0.9735572 *
*       73 * 0.1187295 * 268.85113 * 0.9688130 *
*       74 * 0.5372371 * 716.31927 * 1.2799999 *
*       75 * -0.521382 * 283.91687 * 0.9684357 *
*       76 * -0.023899 * 507.88967 * 1.2799999 *
*       77 * 0.2442429 * 260.72369 * 1.2799999 *
*       78 * 0.4244776 * 358.01486 * 1.2799999 *
*       79 * 0.6582093 * 673.89514 * 1.2799999 *
*       80 * 0.8204132 * 746.96063 *         1 *
*       81 * 0.5707544 * 246.27752 * 0.9676115 *
*       82 * 0.4737504 * 404.62750 * 1.0254494 *
*       83 * 0.7795745 * 801.77362 * 0.9668851 *
*       84 * 0.9617677 * 862.97058 * 1.2799999 *
*       85 * 0.7028241 * 635.45617 * 1.1242977 *
*       86 * 0.6674332 * 442.95172 *         1 *
*       87 * 0.0695560 * 209.05354 * 1.2799999 *
*       88 * -0.016243 * 418.16931 * 1.2799999 *
*       89 * 0.4442998 * 347.38217 * 1.2799999 *
*       90 * 0.7526007 * 698.64312 * 0.9712498 *
*       91 * -0.593133 * 166.80921 * 1.2799999 *
*       92 * -0.356354 * 290.23031 * 1.2799999 *
*       93 * 0.8386703 * 694.49304 *         1 *
*       94 * 0.6237307 * 570.02099 * 1.2799999 *
*       95 * 0.6897994 * 477.06787 * 1.2799999 *
*       96 * 0.4016640 * 245.09138 * 1.2799999 *
*       97 * 0.9687045 * 1029.4624 *         1 *
*       98 * 0.7565797 * 716.75799 * 1.2799999 *
*       99 * 0.7244857 * 437.64331 * 0.9676884 *
*      100 * 0.7864345 * 501.17315 * 1.2799999 *
*      101 * 0.5993016 * 511.20254 * 1.2799999 *
*      102 * 0.3631261 * 482.49395 * 0.9670840 *
*      103 * 0.7771680 * 582.15148 * 1.2799999 *
*      104 * -0.359742 * 272.98339 * 0.9700266 *
*      105 * 0.9702083 * 502.39221 * 1.2799999 *
*      106 * 0.8688038 * 924.61712 * 1.2799999 *
*      107 * 0.9211547 * 874.38116 * 1.2799999 *
*      108 * 0.8749414 * 684.90606 * 1.2799999 *
*      109 * 0.8225080 * 949.12292 * 1.2799999 *
*      110 * 0.3696890 * 335.08343 * 0.9676912 *
