************************************************
*    Row   *     el.UZ *      el.E *       wgt *
************************************************
*        0 * 0.7309690 * 246.86744 * 1.2811669 *
*        1 * 0.0561364 * 200.40568 * 1.2799999 *
*        2 * 0.7293859 * 310.98275 * 1.2799999 *
*        3 * 0.9996959 * 557.25280 * 1.2799999 *
*        4 * 0.7202894 * 678.65802 * 1.2799999 *
*        5 * 0.6642557 * 225.43226 * 1.5966793 *
*        6 * 0.9636559 * 568.85491 * 0.7901953 *
*        7 * 0.9771127 * 225.86991 * 0.7075238 *
*        8 * -0.683303 * 188.73764 * 1.2799999 *
*        9 * 0.5990104 * 207.90766 * 1.0696650 *
*       10 * 0.9695264 * 326.84524 * 1.2799999 *
*       11 * 0.4254716 * 306.01324 * 1.1102346 *
*       12 * 0.9998657 * 941.31073 * 1.2799999 *
*       13 * 0.7414615 * 330.15329 * 1.2799999 *
*       14 * 0.5414415 * 238.32788 * 1.2799999 *
*       15 * 0.2703102 * 303.59735 * 1.2799999 *
*       16 * 0.3024471 * 297.97595 * 1.5999723 *
*       17 * 0.5822437 * 255.98590 * 1.5741496 *
*       18 * 0.9981651 * 588.59326 * 1.2799999 *
*       19 * 0.9993546 * 295.99292 * 1.2799999 *
*       20 * 0.9747366 * 315.22525 * 1.3369736 *
*       21 * 0.8608328 * 357.99713 * 1.3378422 *
*       22 * 0.8127493 * 242.40133 * 1.2799999 *
*       23 * 0.9971520 * 302.78787 * 1.2799999 *
*       24 * 0.0271057 * 218.05102 * 1.2799999 *
*       25 * 0.7829152 * 318.82034 * 1.2799999 *
*       26 * 0.9998563 * 582.83227 * 1.2799999 *
*       27 * 0.9939426 * 328.40536 * 1.2799999 *
*       28 * 0.8084554 * 639.18469 * 1.2799999 *
*       29 * 0.5584230 * 240.61076 * 1.5470995 *
*       30 * 0.9974626 *   389.569 * 1.2799999 *
*       31 * 0.9951840 * 1030.7893 * 1.2799999 *
*       32 * 0.3583944 * 228.81501 * 1.2799999 *
*       33 * 0.9897462 * 617.20007 * 1.2799999 *
*       34 * 0.0804540 * 268.93685 * 1.2799999 *
*       35 * 0.9985799 * 631.37341 * 1.2799999 *
*       36 * 0.8804501 * 577.17669 * 1.2799999 *
*       37 * 0.7476920 * 476.16622 * 1.2799999 *
*       38 * 0.9547348 * 848.60009 * 1.2799999 *
*       39 * 0.3431505 * 190.22996 * 1.2799999 *
*       40 * 0.8433050 * 247.63522 * 0.8370274 *
*       41 * 0.7801433 * 366.51815 * 1.2799999 *
*       42 * 0.1873090 * 241.84460 * 1.2799999 *
*       43 * 0.0695454 * 234.97047 * 1.2799999 *
*       44 * -0.526270 * 193.36271 * 1.2799999 *
*       45 * -0.408557 * 278.53097 * 1.2799999 *
*       46 * 0.8630160 * 841.94183 * 1.2799999 *
*       47 * 0.8428334 * 529.09698 * 1.2799999 *
*       48 * 0.6654902 * 251.94319 * 1.2953089 *
*       49 * 0.9292701 * 969.49060 * 0.9771788 *
*       50 * 0.8826180 * 248.43667 * 1.2799999 *
*       51 * 0.9327367 * 374.79867 * 1.2799999 *
*       52 * 0.7696365 * 322.96246 * 1.2799999 *
*       53 * 0.8138529 * 201.27388 * 1.2799999 *
*       54 * 0.8925570 * 439.39233 * 1.2799999 *
*       55 * 0.8847145 * 240.73678 * 1.2799999 *
*       56 * 0.9988068 * 307.44033 * 1.2799999 *
*       57 * 0.9998752 * 688.84558 * 1.2799999 *
*       58 * -0.136308 * 198.37052 * 1.2799999 *
*       59 * 0.3353506 * 193.03852 * 1.2799999 *
*       60 * 0.7360890 * 602.03356 * 1.2799999 *
*       61 * 0.9992752 * 444.38220 * 1.2799999 *
*       62 * 0.2008123 * 245.97692 * 1.2799999 *
*       63 * 0.9970265 * 333.09573 * 1.2799999 *
*       64 * 0.2638059 *   244.084 * 1.2799999 *
*       65 * -0.285217 * 181.53657 * 1.5699662 *
*       66 * 0.6716983 * 255.56005 * 1.2799999 *
*       67 * 0.9975498 * 424.31069 * 1.2799999 *
*       68 * 0.9988552 * 1215.8159 * 1.2799999 *
*       69 * 0.5307127 * 304.43365 * 1.2799999 *
*       70 * 0.2941036 * 179.63871 * 1.4332004 *
*       71 * -0.431823 * 191.41458 * 1.2799999 *
*       72 * 0.8863285 * 354.71905 *         1 *
*       73 * 0.8492587 * 463.51629 * 1.4814051 *
*       74 * 0.9971755 * 246.82879 * 1.2799999 *
*       75 * 0.8550607 * 715.45941 * 1.2799999 *
*       76 * 0.8948181 * 385.60491 * 1.2799999 *
*       77 * 0.7588387 * 234.41812 * 1.1359729 *
*       78 * 0.8555735 * 348.25134 * 1.2799999 *
*       79 * 0.7982680 * 506.31073 * 1.2799999 *
*       80 * 0.4258228 * 439.58172 * 1.2799999 *
*       81 * 0.8567561 * 522.03851 * 0.9731701 *
*       82 * 0.8914808 * 317.59863 * 1.2799999 *
*       83 * 0.7976260 * 318.74444 * 1.2799999 *
*       84 * 0.9981124 * 534.06152 * 1.2799999 *
*       85 * 0.5644946 * 302.25906 * 1.5205593 *
*       86 * 0.9974071 * 222.08483 * 1.2799999 *
*       87 * 0.9387527 * 494.87344 * 1.2799999 *
*       88 * 0.8301083 * 311.11593 * 1.2243915 *
*       89 * 0.9593581 * 533.67279 *         1 *
*       90 * 0.7233793 * 281.58535 * 1.2799999 *
*       91 * 0.9996833 * 882.53466 * 1.2799999 *
*       92 * 0.8619587 * 325.61218 * 1.5822753 *
*       93 * 0.7961778 * 407.00705 * 1.2799999 *
*       94 * 0.9981839 * 349.63626 * 1.2799999 *
*       95 * 0.9998443 * 599.89880 * 1.2799999 *
*       96 * 0.3123448 * 183.76591 * 1.4919401 *
*       97 * -0.363627 * 160.73730 * 0.9280350 *
*       98 * 0.9998530 * 405.00729 * 1.2799999 *
*       99 * 0.7748094 * 495.20950 * 1.2799999 *
*      100 * 0.1221033 * 431.77975 * 1.2799999 *
*      101 * 0.9696770 * 375.40884 * 0.8224854 *
*      102 * 0.9067578 * 567.44281 * 1.2799999 *
*      103 * 0.8552559 * 245.53578 * 1.1486204 *
*      104 * -0.591799 * 236.43331 * 1.2799999 *
*      105 * 0.9997570 * 957.19116 * 1.2799999 *
*      106 * 0.4785298 * 207.27281 * 1.2799999 *
*      107 * 0.9996505 * 224.86755 * 1.2799999 *
*      108 * 0.1162390 * 249.44119 * 0.9769166 *
*      109 * -0.156100 * 280.67349 * 1.2799999 *
*      110 * 0.3936078 * 179.69146 * 1.2799999 *
*      111 * 0.6683113 * 383.22741 * 1.2799999 *
*      112 * 0.8324359 * 596.08172 * 1.2799999 *
*      113 * 0.7794849 * 384.80841 * 1.2799999 *
*      114 * 0.9047803 * 297.89001 *         1 *
*      115 * 0.7781118 * 537.58709 * 1.2799999 *
*      116 * 0.9567964 * 452.24197 * 1.0114355 *
*      117 * 0.9484328 * 541.44683 * 0.8827327 *
*      118 * 0.4150250 * 362.75354 * 0.9657691 *
*      119 * 0.9541565 * 283.50857 * 0.7599045 *
*      120 * 0.7530907 * 448.57617 * 1.4382150 *
*      121 * 0.5465186 * 212.19332 * 0.9195275 *
*      122 * 0.8450742 * 357.28543 * 1.2799999 *
*      123 * 0.9867879 * 560.79388 * 1.2799999 *
*      124 * 0.8527565 * 406.58908 * 1.2799999 *
*      125 * 0.1202059 * 198.01947 * 1.2799999 *
*      126 * -0.585151 * 153.04774 * 1.2799999 *
*      127 * 0.7981531 * 298.76364 * 1.2799999 *
*      128 * -0.261387 * 255.32432 * 1.2799999 *
*      129 * 0.8060377 * 220.91133 * 1.4634701 *
*      130 * 0.4875255 * 312.82684 * 1.2799999 *
*      131 * 0.8063079 * 620.39715 * 1.2799999 *
*      132 * 0.5182707 * 314.57968 * 1.2799999 *
*      133 * 0.9647117 * 528.76647 * 1.1763283 *
*      134 * 0.9308457 * 470.74044 * 1.2799999 *
*      135 * 0.9732130 * 586.75213 * 1.2799999 *
