************************************************
*    Row   *     el.UZ *      el.E *       wgt *
************************************************
*        0 * 0.5709091 * 423.70913 * 0.5954999 *
*        1 * 0.6901153 * 319.36343 * 0.5954999 *
*        2 * 0.6915066 * 477.93859 * 0.5954999 *
*        3 * -0.511335 * 164.47007 * 0.5954999 *
*        4 * 0.4971183 * 257.74856 * 0.5954999 *
*        5 * 0.7759305 * 412.59155 * 0.5954999 *
*        6 * 0.2357574 * 295.04153 * 0.5954999 *
*        7 * 0.9692187 * 662.61572 * 0.5954999 *
*        8 * 0.4987316 * 318.33459 * 0.5954999 *
*        9 * 0.8026376 * 215.05337 * 0.5954999 *
*       10 * 0.9654818 * 448.14331 * 0.5954999 *
*       11 * 0.9946583 * 870.72119 * 0.5954999 *
*       12 * 0.9201580 * 363.40506 * 0.5954999 *
*       13 * 0.9468523 * 309.21109 * 0.5954999 *
*       14 * 0.9367768 * 464.74710 * 0.5954999 *
*       15 * 0.2918119 * 584.80981 * 0.5954999 *
*       16 * -0.032283 * 183.98896 * 0.5954999 *
*       17 * 0.4437226 * 244.60264 * 0.5954999 *
*       18 * 0.3794103 * 405.71002 * 0.5954999 *
*       19 * 0.8740686 * 345.71414 * 0.5954999 *
*       20 * 0.3750911 * 333.18322 * 0.5954999 *
*       21 * 0.8105962 * 330.15182 * 0.5954999 *
*       22 * 0.9509055 * 628.61944 * 0.5954999 *
*       23 * 0.0210369 * 317.44393 * 0.5954999 *
*       24 * -0.195781 * 210.34237 * 0.5954999 *
*       25 * 0.8712467 * 293.82641 * 0.5954999 *
*       26 * 0.0028901 * 182.84822 * 0.5954999 *
*       27 * 0.6220077 * 323.99234 * 0.5954999 *
*       28 * 0.3296877 * 309.75677 * 0.5954999 *
*       29 * 0.7955918 * 461.90148 * 0.5954999 *
*       30 * 0.7895181 * 437.69500 * 0.5954999 *
*       31 * 0.9531960 * 375.83221 * 0.5954999 *
*       32 * 0.9701073 * 651.82562 * 0.5954999 *
*       33 * 0.6383513 * 578.74804 * 0.5954999 *
*       34 * -0.279321 * 198.91201 * 0.5954999 *
*       35 * 0.6314982 * 620.66461 * 0.5954999 *
*       36 * -0.772915 * 250.99069 * 0.5954999 *
*       37 * 0.8375536 * 446.95376 * 0.5954999 *
*       38 * 0.8810208 * 329.03451 * 0.5954999 *
*       39 * 0.4988141 * 443.76828 * 0.5954999 *
*       40 * 0.7824020 * 370.48764 * 0.5954999 *
*       41 * 0.2885798 * 234.64135 * 0.5954999 *
*       42 * 0.9575278 * 311.11346 * 0.5954999 *
*       43 * 0.3443921 * 329.86898 * 0.5954999 *
*       44 * 0.0744840 * 204.11993 * 0.5954999 *
*       45 * 0.8576043 * 213.37347 * 0.5954999 *
*       46 * 0.7872254 * 469.81222 * 0.5954999 *
*       47 * 0.5250369 * 248.27273 * 0.5954999 *
*       48 * 0.9522795 * 489.63162 * 0.5954999 *
*       49 * 0.8258497 * 319.04998 * 0.5954999 *
*       50 * 0.7090893 * 309.07614 * 0.5954999 *
*       51 * 0.9494807 * 286.82254 * 0.5954999 *
*       52 * 0.5173406 * 214.25537 * 0.5954999 *
*       53 * -0.954181 * 163.87120 * 0.5954999 *
*       54 * -0.513572 * 174.88606 * 0.5954999 *
*       55 * 0.3167413 * 277.10446 * 0.5954999 *
*       56 * -0.033397 * 192.12011 * 0.5954999 *
*       57 * 0.8269872 *  301.4422 * 0.5954999 *
*       58 * 0.2891711 * 279.11523 * 0.5954999 *
*       59 * 0.6202307 * 383.30368 * 0.5954999 *
*       60 * 0.6691023 * 531.38525 * 0.5954999 *
*       61 * 0.7842761 * 557.11755 * 0.5954999 *
*       62 * 0.9761686 * 235.61975 * 0.5954999 *
*       63 * 0.9638770 * 226.20909 * 0.5954999 *
*       64 * 0.4732861 * 212.57537 * 0.5954999 *
*       65 * 0.4833226 * 279.39666 * 0.5954999 *
*       66 * 0.7714631 * 497.30572 * 0.5954999 *
*       67 * 0.6557417 * 547.16363 * 0.5954999 *
*       68 * 0.2154322 * 358.46594 * 0.5954999 *
*       69 * 0.2334190 * 318.68389 * 0.5954999 *
*       70 * 0.1169798 * 229.03932 * 0.5954999 *
*       71 * 0.6394945 * 206.41622 * 0.5954999 *
*       72 * -0.516503 * 151.69342 * 0.5954999 *
*       73 * 0.1953466 * 221.30009 * 0.5954999 *
*       74 * 0.3928772 * 538.36132 * 0.5954999 *
*       75 * 0.8074871 * 395.17071 * 0.5954999 *
*       76 * 0.9626671 * 512.95007 * 0.5954999 *
*       77 * 0.7922032 * 356.50235 * 0.5954999 *
*       78 * 0.9971382 * 334.26571 * 0.5954999 *
*       79 * 0.3243668 * 467.62411 * 0.5954999 *
*       80 * -0.350467 * 188.05592 * 0.5954999 *
*       81 * -0.234664 * 189.52500 * 0.5954999 *
*       82 * 0.1958197 * 443.34121 * 0.5954999 *
*       83 * 0.5677530 * 327.12597 * 0.5954999 *
*       84 * 0.8544283 * 218.45326 * 0.5954999 *
*       85 * 0.3376668 * 180.77716 * 0.5954999 *
*       86 * 0.6976057 * 365.03408 * 0.5954999 *
*       87 * 0.4190200 * 337.80596 * 0.5954999 *
*       88 * 0.3044985 * 372.87649 * 0.5954999 *
*       89 * 0.5119411 * 613.10199 * 0.5954999 *
*       90 * 0.9511460 * 399.92636 * 0.5954999 *
*       91 * 0.2352469 * 404.62274 * 0.5954999 *
*       92 * 0.8637862 * 531.44348 * 0.5954999 *
*       93 * -0.376344 * 437.19335 * 0.5954999 *
*       94 * 0.8354755 * 547.05572 * 0.5954999 *
*       95 * 0.9384807 * 420.79104 * 0.5954999 *
*       96 * 0.6076481 * 336.28402 * 0.5954999 *
*       97 * 0.5812423 * 343.78381 * 0.5954999 *
*       98 * -0.033889 * 369.45547 * 0.5954999 *
*       99 * 0.9567998 * 339.97970 * 0.5954999 *
*      100 * 0.6324030 * 329.51351 * 0.5954999 *
*      101 * 0.2729904 * 218.56588 * 0.5954999 *
*      102 * 0.8680391 * 524.90844 * 0.5954999 *
*      103 * 0.0638865 * 456.68673 * 0.5954999 *
*      104 * 0.9720243 * 345.38729 * 0.5954999 *
*      105 * 0.5038706 * 501.93774 * 0.5954999 *
*      106 * 0.6601541 * 307.25909 * 0.5954999 *
*      107 * 0.7463439 * 257.45510 * 0.5954999 *
*      108 * -0.147229 * 174.51135 * 0.5954999 *
*      109 * 0.5661800 * 203.90103 * 0.5954999 *
*      110 * 0.7740589 * 233.78591 * 0.5954999 *
*      111 * 0.8179674 * 321.16165 * 0.5954999 *
*      112 * 0.0145409 * 244.89379 * 0.5954999 *
