************************************************
*    Row   *     el.UZ *      el.E *       wgt *
************************************************
*        0 * 0.5617427 * 384.93066 * 0.9601549 *
*        1 * 0.1220418 * 258.53384 * 1.0347542 *
*        2 * -0.975181 * 183.64462 * 1.1248799 *
*        3 * 0.1514218 * 186.30120 * 1.3882361 *
*        4 * 0.9921897 * 892.26470 * 0.7692170 *
*        5 * 0.7714204 * 536.80706 * 0.8894249 *
*        6 * 0.9608148 * 513.02606 * 0.7727696 *
*        7 * 0.9839310 * 975.69879 * 0.6244089 *
*        8 * 0.8039893 * 207.99627 * 1.2183613 *
*        9 * 0.9771485 * 333.59689 * 0.9701769 *
*       10 * 0.9215683 * 1131.1063 * 0.9701769 *
*       11 * 0.9445044 * 455.99340 * 1.3858213 *
*       12 * 0.9101799 * 879.15765 * 0.7603011 *
*       13 * 0.7599491 * 202.53504 * 0.8894249 *
*       14 * 0.8590384 * 314.90985 * 1.0163567 *
*       15 * 0.9360300 * 908.03918 * 0.7692170 *
*       16 * -0.724268 * 232.49861 * 0.7776566 *
*       17 * -0.031910 * 275.65170 * 1.2373918 *
*       18 * 0.2000873 * 267.54260 * 1.1393740 *
*       19 * 0.8457148 * 238.32235 * 1.1379200 *
*       20 * 0.7090501 * 369.59326 * 1.1193392 *
*       21 * 0.3131183 * 199.49200 * 1.3436054 *
*       22 * 0.4617959 * 473.42190 * 1.0060211 *
*       23 * 0.6564868 * 297.42099 * 0.9701769 *
*       24 * 0.9644759 * 298.30276 * 0.9701769 *
*       25 * 0.1827090 * 479.82202 * 1.0584100 *
*       26 * -0.552197 * 243.77052 * 1.0966347 *
*       27 * 0.9961276 * 205.87709 * 1.1064070 *
*       28 * 0.9260092 * 277.28353 * 1.1255911 *
*       29 * 0.9163665 * 256.61740 * 0.8846056 *
*       30 * 0.4137656 * 488.35717 * 0.8894249 *
*       31 * 0.5792903 * 224.06326 * 1.1199643 *
*       32 * 0.9327739 * 439.47781 * 0.8894249 *
*       33 * 0.1765884 * 183.26850 * 1.4612840 *
*       34 * -0.031571 * 198.00331 * 1.3195221 *
*       35 * 0.8045947 * 246.38058 * 1.2008007 *
*       36 * 0.1447914 * 299.24649 * 1.2253432 *
*       37 * 0.3391486 * 627.74395 * 1.0584100 *
*       38 * -0.611600 * 213.11601 * 1.9711301 *
*       39 * 0.7458787 * 568.90374 * 0.8364942 *
*       40 * -0.376821 * 325.14709 * 1.1483820 *
*       41 * 0.7980626 * 672.28430 * 1.1188222 *
*       42 * 0.8337253 * 287.72100 * 0.8894249 *
*       43 * -0.982445 * 171.99263 * 1.2284936 *
*       44 * 0.6980375 * 531.04077 * 1.4036436 *
*       45 * 0.7754820 * 561.07019 * 0.9923622 *
*       46 * 0.8599629 * 470.85733 * 0.7781174 *
*       47 * 0.9436231 * 214.21226 * 0.8894249 *
*       48 * 0.6005107 * 816.36669 * 1.3707100 *
*       49 * 0.8243763 * 452.66540 * 0.7961900 *
*       50 * 0.9895435 * 483.98458 * 1.0156279 *
*       51 * -0.684249 * 231.39854 * 0.7275588 *
*       52 * 0.3396508 * 310.32174 * 1.0798960 *
*       53 * 0.9856570 * 1097.4946 * 0.7556250 *
*       54 * 0.8427342 * 733.20874 * 0.5201094 *
*       55 * 0.5258343 * 212.64462 * 1.3459838 *
*       56 * 0.4425083 * 459.90213 * 0.9497687 *
*       57 * 0.6436986 * 222.40678 * 1.2361712 *
*       58 * 0.9093891 * 409.79647 * 1.4016614 *
*       59 * 0.8969573 * 774.49438 * 1.3035870 *
*       60 * 0.8873092 * 469.88641 * 0.5497519 *
*       61 * 0.7571151 * 199.17651 * 1.3949440 *
*       62 * 0.8580002 * 786.70208 * 0.5009090 *
*       63 * 0.3158376 * 214.13513 * 1.3713164 *
*       64 * 0.7215222 * 372.30188 * 0.7252489 *
*       65 * 0.7898954 * 803.73162 * 0.8656188 *
*       66 * -0.964793 * 194.54962 * 1.0005692 *
*       67 * 0.6739788 * 360.01214 * 0.6937689 *
*       68 * 0.8341083 * 484.36605 * 1.4548771 *
*       69 * 0.5340230 * 270.24536 * 1.2498507 *
*       70 * -0.197950 * 212.92706 * 1.1158267 *
*       71 * 0.8861908 * 468.23812 * 0.9094014 *
*       72 * 0.5263295 * 570.84063 * 1.0898888 *
*       73 * 0.7238676 * 549.78064 * 0.9864887 *
*       74 * 0.8921155 * 834.89849 * 0.3873519 *
*       75 * -0.648160 * 210.84333 * 1.2380100 *
*       76 * 0.6998519 * 863.82476 * 0.8855430 *
*       77 * 0.8900952 * 280.87454 * 0.8894249 *
*       78 * -0.252082 * 176.13319 * 1.1379200 *
*       79 * 0.3714390 * 236.96029 * 1.3446302 *
*       80 * 0.3996751 * 363.39755 * 1.0789657 *
*       81 * 0.8940396 * 992.50738 * 0.6287962 *
*       82 * 0.8685690 * 278.62677 * 1.1543763 *
*       83 * 0.9105928 * 585.63934 * 0.4363090 *
*       84 * -0.173160 * 203.45851 * 1.4317133 *
*       85 * 0.5650640 * 297.59335 * 1.2500168 *
*       86 * -0.045901 * 277.67788 * 1.1825442 *
*       87 * 0.9806606 * 1202.8427 * 0.7556250 *
*       88 * 0.8381820 * 233.51351 * 1.1379200 *
*       89 * -0.400472 * 193.31349 * 0.7916884 *
*       90 * 0.9374128 * 301.25930 * 0.6940298 *
*       91 * 0.7281725 * 214.86949 * 1.0450204 *
*       92 * -0.593076 * 175.58062 * 0.9479115 *
*       93 * 0.7006632 * 259.79241 * 0.9701769 *
*       94 * 0.7351958 * 270.77447 * 0.9701769 *
*       95 * 0.8936269 * 884.79589 * 0.5774568 *
*       96 * 0.1667375 * 469.16775 * 0.9277566 *
*       97 * 0.9756468 * 264.43997 * 1.1937443 *
*       98 * -0.141747 * 255.50689 * 1.1723955 *
*       99 * 0.9793720 * 879.60644 * 0.7556250 *
*      100 * 0.9126479 * 818.53949 * 0.7253218 *
*      101 * 0.5362647 * 225.77992 * 1.0592247 *
*      102 * -0.743273 * 225.27793 * 0.8163343 *
*      103 * 0.9249700 * 410.55807 * 0.4764695 *
*      104 * 0.5802475 * 264.68927 * 1.1498775 *
*      105 * -0.119037 * 202.72383 * 1.8310316 *
*      106 * 0.9254459 * 293.86651 * 0.9701769 *
*      107 * 0.1579577 * 302.50973 * 0.9227662 *
*      108 * 0.8605379 * 227.70066 * 1.0584100 *
*      109 * 0.1378589 * 205.28720 *  1.332443 *
*      110 * 0.9675101 * 231.46099 * 0.8894249 *
*      111 * -0.999935 * 258.85327 * 1.2463145 *
*      112 * 0.4366036 * 198.18270 * 1.1379200 *
*      113 * 0.9971948 * 1141.2728 * 0.7184218 *
*      114 * 0.9909697 * 285.54199 * 0.6123802 *
*      115 * 0.5570330 * 250.72438 * 1.1730035 *
*      116 * 0.7000659 * 397.10278 * 0.8202283 *
*      117 * 0.7081356 * 212.40065 * 1.0584100 *
*      118 * 0.8825123 * 215.45323 * 1.1173924 *
*      119 * -0.233615 * 193.70408 * 1.0287456 *
*      120 * 0.8270750 * 454.89331 * 0.9514793 *
*      121 * 0.9586396 * 350.01031 * 0.9701769 *
*      122 * -0.055035 * 214.92118 * 0.9701769 *
*      123 * 0.1152508 * 176.74018 * 1.3720952 *
*      124 * -0.628930 * 207.53721 * 1.1873656 *
*      125 * 0.9563861 * 885.24078 * 0.7692170 *
*      126 * 0.3702008 * 375.46905 * 0.9831978 *
*      127 * 0.6599777 * 219.93324 * 1.2735569 *
*      128 * 0.8272152 * 928.89544 * 0.5657032 *
*      129 * 0.6515078 * 206.06204 * 1.1379200 *
*      130 * 0.6632655 * 792.59039 * 1.1379200 *
*      131 * 0.8738003 * 493.05746 * 0.5218213 *
*      132 * 0.4218459 * 203.49983 * 1.2931113 *
*      133 * 0.9883036 * 829.50116 * 1.2380100 *
*      134 * 0.7488860 * 270.24816 * 1.3387715 *
*      135 * 0.8029895 * 470.68960 * 0.6383732 *
*      136 * -0.280458 * 173.24807 * 1.2264777 *
*      137 * 0.9953602 * 211.43335 * 1.1379200 *
*      138 * 0.9018566 * 355.58361 * 0.9701769 *
*      139 * 0.9966747 * 826.84661 * 0.7692170 *
*      140 * 0.9064502 *  653.9599 * 0.9457957 *
*      141 * -0.768768 * 151.92048 * 1.0839451 *
*      142 * 0.9953501 * 801.38153 * 0.5882130 *
*      143 * 0.6402100 * 209.39827 * 1.0182532 *
*      144 * 0.9888362 * 395.82254 * 0.5602639 *
*      145 * -0.178280 * 249.07542 * 1.0494105 *
*      146 * 0.9258164 * 749.76593 * 0.7961900 *
*      147 * 0.5851418 * 577.92968 * 0.9387214 *
*      148 * 0.8952314 * 980.01855 * 0.7284485 *
*      149 * 0.6071894 * 363.83078 * 1.0526746 *
*      150 * 0.9993950 * 572.74951 * 0.5671104 *
*      151 * 0.5988169 * 271.65673 * 1.0826330 *
*      152 * -0.004728 *  234.1129 * 1.2913252 *
*      153 * 0.9950143 * 1036.0871 * 0.7556250 *
*      154 * 0.2628015 * 226.72917 * 1.1881908 *
*      155 * 0.7385219 * 617.44696 * 0.7180508 *
*      156 * 0.8697468 * 368.31179 * 0.9329256 *
*      157 * 0.9976896 * 1186.9794 * 0.4545609 *
*      158 * 0.9659952 * 514.87634 * 1.1459111 *
*      159 * 0.8452698 * 642.56988 * 0.3770336 *
*      160 * 0.2921963 * 184.10147 * 1.2035210 *
*      161 * 0.6807543 * 777.17077 * 0.9246285 *
*      162 * 0.8540552 * 289.75131 * 1.0023143 *
*      163 * 0.8947606 * 201.40759 * 0.9701769 *
*      164 * -0.389363 * 220.81962 * 1.2021852 *
*      165 * 0.5871103 * 278.91317 * 0.9701769 *
*      166 * 0.8846191 * 210.99932 * 0.7407026 *
*      167 * -0.350489 * 201.02803 * 0.8902937 *
*      168 * 0.6550434 * 803.63214 * 0.7961900 *
*      169 * 0.9056501 * 681.74255 * 0.7680415 *
